Options:,Apache,,,HA Proxy,,,Java,,,Kafka,,,Keep Alived,,,MongoDB,,,MySQL,,,NodeJS,,,Oracle,,,OS,,,PHP,,,Vault,,,Zookeeper,,
1.Apache,Versions:,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL,Version:,EOS,EOL,Versions:,EOS,EOL,Version:,EOS,EOL,Version,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL,Versions:,EOS,EOL
2.HA Proxy,2.4,Latest,Latest,1.8,31-05-2021,31-05-2021,1.8,01-11-2026,31-12-2030,2.5.0,14-12-2020,14-12-2020,1.3.5,30-06-2024,30-06-2024,4.0,30-04-2022,30-04-2022,8.0,30-04-2026,30-04-2026,10.24,30-04-2021,30-04-2021,19c,30-04-2027,30-04-2027,2,30-05-2025,30-05-2025,5.4,14-09-2015,14-09-2015,1.10,31-03-2023,31-03-2023,2.12,10-08-2020,NA
3.Java,,,,,,,,,,,,,2.1.5,31-05-2029,31-05-2029,4.2,30-04-2023,30-04-2023,,,,14.15,30-04-2023,30-04-2023,,,,RHEL 7.X,30-06-2024,30-06-2024,5.6,31-12-2018,31-12-2018,1.11,21-06-2023,21-06-2023,7.3,19-01-2024,NA
4.Kafka,,,,,,,,,,,,,,,,4.4,29-02-2024,29-02-2024,,,,14.20,30-04-2023,30-04-2023,,,,RHEL 8.X,31-05-2025,31-05-2029,7.2,30-11-2020,30-11-2020,1.12,27-09-2023,27-09-2023,,,
5.Keep Alived,,,,,,,,,,,,,,,,,,,,,,14.21,30-04-2023,30-04-2023,,,,RHEL 9.X,31-05-2032,31-05-2035,8.0,26-11-2023,26-11-2023,1.13,25-03-2024,25-03-2024,,,
6.MongoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky Linux 8.7,20-05-2023,31-05-2029,,,,,,,,,
7.MySQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,31-05-2032,31-05-2035,,,,,,,,,
8.NodeJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,31-05-2032,31-05-2035,,,,,,,,,
9.Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,31-05-2032,31-05-2035,,,,,,,,,
10.OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,31-05-2032,31-05-2035,,,,,,,,,
11.PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,30-06-2024,30-06-2024,,,,,,,,,
12.Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,30-06-2024,30-06-2024,,,,,,,,,
13.Zookeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,30-06-2024,30-06-2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,10.24.0,,,,,,,,,,,,8.6,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,31-05-2025,31-05-2029,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0 ,31-05-2025,31-05-2029,,,,,,,,,
